"Step","phase1_top3 - validation_step_timing in s","phase1_top3 - validation_step_timing in s__MIN","phase1_top3 - validation_step_timing in s__MAX"
"4388","0.03816962242126465","0.03816962242126465","0.03816962242126465"
"4398","0.05321002006530762","0.05321002006530762","0.05321002006530762"
"4411","0.06114816665649414","0.06114816665649414","0.06114816665649414"
"4421","0.0591425895690918","0.0591425895690918","0.0591425895690918"
"4432","0.04109621047973633","0.04109621047973633","0.04109621047973633"
"4434","0.05639386177062988","0.05639386177062988","0.05639386177062988"
"4439","0.03464508056640625","0.03464508056640625","0.03464508056640625"
"4443","0.03523707389831543","0.03523707389831543","0.03523707389831543"
"4444","0.031145095825195312","0.031145095825195312","0.031145095825195312"
"4448","0.042090415954589844","0.042090415954589844","0.042090415954589844"
"4462","0.05752277374267578","0.05752277374267578","0.05752277374267578"
"4466","0.05710124969482422","0.05710124969482422","0.05710124969482422"
"4472","0.04905414581298828","0.04905414581298828","0.04905414581298828"
"4497","0.058142662048339844","0.058142662048339844","0.058142662048339844"
"4500","0.03515768051147461","0.03515768051147461","0.03515768051147461"
"4506","0.06070256233215332","0.06070256233215332","0.06070256233215332"
"4508","0.04335308074951172","0.04335308074951172","0.04335308074951172"
"4510","0.050835371017456055","0.050835371017456055","0.050835371017456055"
"4513","0.03592419624328613","0.03592419624328613","0.03592419624328613"
"4521","0.03555560111999512","0.03555560111999512","0.03555560111999512"
"4524","0.05481576919555664","0.05481576919555664","0.05481576919555664"
"4545","0.06060504913330078","0.06060504913330078","0.06060504913330078"
"4546","0.03882884979248047","0.03882884979248047","0.03882884979248047"
"4572","0.0529022216796875","0.0529022216796875","0.0529022216796875"
"4598","0.03551459312438965","0.03551459312438965","0.03551459312438965"
"4628","0.050714969635009766","0.050714969635009766","0.050714969635009766"
"4650","0.05736517906188965","0.05736517906188965","0.05736517906188965"
"4656","0.03549599647521973","0.03549599647521973","0.03549599647521973"
"4667","0.03312182426452637","0.03312182426452637","0.03312182426452637"
"4669","0.0391545295715332","0.0391545295715332","0.0391545295715332"
"4670","0.038048744201660156","0.038048744201660156","0.038048744201660156"
"4677","0.05767011642456055","0.05767011642456055","0.05767011642456055"
"4678","0.03670072555541992","0.03670072555541992","0.03670072555541992"
"4685","0.03607439994812012","0.03607439994812012","0.03607439994812012"
"4691","0.05489683151245117","0.05489683151245117","0.05489683151245117"
"4708","0.0486147403717041","0.0486147403717041","0.0486147403717041"
"4713","0.032654762268066406","0.032654762268066406","0.032654762268066406"
"4754","0.05168724060058594","0.05168724060058594","0.05168724060058594"
"4775","0.03319573402404785","0.03319573402404785","0.03319573402404785"
"4793","0.05839037895202637","0.05839037895202637","0.05839037895202637"
"4818","0.030251264572143555","0.030251264572143555","0.030251264572143555"
"4879","0.035654306411743164","0.035654306411743164","0.035654306411743164"
"4909","0.03148388862609863","0.03148388862609863","0.03148388862609863"
"4930","0.05929851531982422","0.05929851531982422","0.05929851531982422"
