"Relative Time (Process)","phase2_upper_half - system/gpu.0.memoryClock","phase2_upper_half - system/gpu.0.memoryClock__MIN","phase2_upper_half - system/gpu.0.memoryClock__MAX","phase1_top3 - system/gpu.0.memoryClock","phase1_top3 - system/gpu.0.memoryClock__MIN","phase1_top3 - system/gpu.0.memoryClock__MAX"
"4125.93209168","","","","10251","10251","10251"
"4140.667350492","405","405","405","","",""
"4140.932010221","","","","10251","10251","10251"
"4155.666241065","405","405","405","","",""
"4155.931818774","","","","10251","10251","10251"
"4170.666577842","405","405","405","","",""
"4170.932861964","","","","10251","10251","10251"
"4185.667361289","405","405","405","","",""
"4185.931160159","","","","10251","10251","10251"
"4200.667542621","405","405","405","","",""
"4200.931640078","","","","10251","10251","10251"
"4215.666219205","405","405","405","","",""
"4215.932466447","","","","10251","10251","10251"
"4230.66746876","405","405","405","","",""
"4230.931842292","","","","10251","10251","10251"
"4245.666351397","405","405","405","","",""
"4245.931375184","","","","10251","10251","10251"
"4260.666690861","405","405","405","","",""
"4260.931914186","","","","10251","10251","10251"
"4275.666740763","405","405","405","","",""
"4275.932061202","","","","10251","10251","10251"
"4290.666693979","405","405","405","","",""
"4290.931766922","","","","10251","10251","10251"
"4305.665392988","405","405","405","","",""
"4305.931205539","","","","10251","10251","10251"
"4320.666349502","405","405","405","","",""
"4320.931610619","","","","10251","10251","10251"
"4335.668776222","405","405","405","","",""
"4335.931635157","","","","10251","10251","10251"
"4350.666063818","405","405","405","","",""
"4350.931829313","","","","10251","10251","10251"
"4365.665617266","405","405","405","","",""
"4365.932340436","","","","10251","10251","10251"
"4380.667108189","405","405","405","","",""
"4380.932037277","","","","10251","10251","10251"
"4395.666577835","405","405","405","","",""
"4395.931930241","","","","10251","10251","10251"
"4410.667051481","405","405","405","","",""
"4410.931607695","","","","10251","10251","10251"
"4425.667253408","405","405","405","","",""
"4425.932581686","","","","10251","10251","10251"
"4440.666092112","405","405","405","","",""
"4440.931684483","","","","10251","10251","10251"
"4455.667530781","405","405","405","","",""
"4455.931990102","","","","10251","10251","10251"
"4470.667123065","405","405","405","","",""
"4470.932212304","","","","10251","10251","10251"
"4485.665778678","405","405","405","","",""
"4485.932008518","","","","10251","10251","10251"
"4500.666764246","405","405","405","","",""
"4500.931901745","","","","10251","10251","10251"
"4515.66717102","405","405","405","","",""
"4515.931609053","","","","10251","10251","10251"
"4530.667292115","405","405","405","","",""
"4530.932149068","","","","10251","10251","10251"
"4545.66736592","405","405","405","","",""
"4545.932562348","","","","10251","10251","10251"
"4560.666838914","405","405","405","","",""
"4560.931493789","","","","10251","10251","10251"
"4575.667256078","405","405","405","","",""
"4575.931461083","","","","10251","10251","10251"
"4590.668444475","405","405","405","","",""
"4590.932157751","","","","10251","10251","10251"
"4605.666721322","405","405","405","","",""
"4605.931939757","","","","10251","10251","10251"
"4620.667105456","405","405","405","","",""
"4620.931389338","","","","10251","10251","10251"
"4635.66629013","405","405","405","","",""
"4635.932295631","","","","10251","10251","10251"
"4650.667955255","405","405","405","","",""
"4650.932788432","","","","10251","10251","10251"
"4665.665476318","405","405","405","","",""
"4665.932340591","","","","10251","10251","10251"
"4680.666295792","405","405","405","","",""
"4680.932808929","","","","10251","10251","10251"
"4695.667929755","405","405","405","","",""
"4695.931547478","","","","10251","10251","10251"
"4710.666599098","405","405","405","","",""
"4710.931623198","","","","10251","10251","10251"
"4725.667564575","405","405","405","","",""
"4725.93224968","","","","10251","10251","10251"
"4740.665918115","405","405","405","","",""
"4740.931294864","","","","10251","10251","10251"
"4755.667010551","405","405","405","","",""
"4755.93124351","","","","10251","10251","10251"
"4770.666529782","405","405","405","","",""
"4770.931848063","","","","10251","10251","10251"
